Cais do Sodré,Santos,Alcântara,Belém,Algés,Cruz Quebrada,Caxias,Paço de Arcos,Santo Amaro,Oeiras,Carcavelos,Parede,S. Pedro,S. João,Estoril,Monte Estoril,Cascais
05:30,05:32,05:35,05:38,05:41,05:44,05:47,05:49,05:53,05:54,05:57,05:59,06:02,06:04,06:06,06:08,06:10
06:00,06:02,06:05,06:08,06:11,06:14,06:17,06:19,06:23,06:24,06:27,06:29,06:32,06:34,06:36,06:38,06:40
06:30,06:32,06:35,06:38,06:41,06:44,06:47,06:49,06:53,06:54,06:57,06:59,07:02,07:04,07:06,07:08,07:10
06:50,06:52,06:55,06:58,07:01,07:04,07:07,07:09,07:13,07:14,,,,,,,
07:00,,07:04,,07:09,,,,,07:17,07:19,07:22,07:24,07:27,07:29,07:31,07:33
07:02,07:04,07:07,07:10,07:13,07:16,07:19,07:21,07:25,07:26,,,,,,,
07:12,,07:16,,07:21,,,,,07:29,07:31,07:34,07:36,07:39,07:41,07:43,07:45
07:14,07:16,07:19,07:22,07:25,07:28,07:31,07:33,07:37,07:38,,,,,,,
07:24,,07:28,,07:33,,,,,07:41,07:43,07:46,07:48,07:51,07:53,07:55,07:57
07:26,07:28,07:31,07:34,07:37,07:40,07:43,07:45,07:49,07:50,,,,,,,
07:36,,07:40,,07:45,,,,,07:53,07:55,07:58,08:00,08:03,08:05,08:07,08:09
07:38,07:40,07:43,07:46,07:49,07:52,07:55,07:57,08:01,08:02,,,,,,,
07:48,,07:52,,07:57,,,,,08:05,08:07,08:10,08:12,08:15,08:17,08:19,08:21
07:50,07:52,07:55,07:58,08:01,08:04,08:07,08:09,08:13,08:14,,,,,,,
08:00,,08:04,,08:09,,,,,08:17,08:19,08:22,08:24,08:27,08:29,08:31,08:33
08:02,08:04,08:07,08:10,08:13,08:16,08:19,08:21,08:25,08:26,,,,,,,
08:12,,08:16,,08:21,,,,,08:29,08:31,08:34,08:36,08:39,08:41,08:43,08:45
08:14,08:16,08:19,08:22,08:25,08:28,08:31,08:33,08:37,08:38,,,,,,,
08:24,,08:28,,08:33,,,,,08:41,08:43,08:46,08:48,08:51,08:53,08:55,08:57
08:26,08:28,08:31,08:34,08:37,08:40,08:43,08:45,08:49,08:50,,,,,,,
08:36,,08:40,,08:45,,,,,08:53,08:55,08:58,09:00,09:03,09:05,09:07,09:09
08:38,08:40,08:43,08:46,08:49,08:52,08:55,08:57,09:01,09:02,,,,,,,
08:48,,08:52,,08:57,,,,,09:05,09:07,09:10,09:12,09:15,09:17,09:19,09:21
08:50,08:52,08:55,08:58,09:01,09:04,09:07,09:09,09:13,09:14,,,,,,,
09:00,,09:04,,09:09,,,,,09:17,09:19,09:22,09:24,09:27,09:29,09:31,09:33
09:02,09:04,09:07,09:10,09:13,09:16,09:19,09:21,09:25,09:26,,,,,,,
