Cais do Sodré,Santos,Alcântara,Belém,Algés,Cruz Quebrada,Caxias,Paço de Arcos,Santo Amaro,Oeiras,Carcavelos,Parede,S. Pedro,S. João,Estoril,Monte Estoril,Cascais
05:30,05:32,05:35,05:38,05:41,05:44,05:47,05:49,05:53,05:54,05:57,05:59,06:02,06:04,06:06,06:08,06:10
06:00,06:02,06:05,06:08,06:11,06:14,06:17,06:19,06:23,06:24,06:27,06:29,06:32,06:34,06:36,06:38,06:40
06:30,06:32,06:35,06:38,06:41,06:44,06:47,06:49,06:53,06:54,06:57,06:59,07:02,07:04,07:06,07:08,07:10
07:00,07:02,07:05,07:08,07:11,07:14,07:17,07:19,07:23,07:24,07:27,07:29,07:32,07:34,07:36,07:38,07:40
07:30,07:32,07:35,07:38,07:41,07:44,07:47,07:49,07:53,07:54,07:57,07:59,08:02,08:04,08:06,08:08,08:10
08:00,08:02,08:05,08:08,08:11,08:14,08:17,08:19,08:23,08:24,08:27,08:29,08:32,08:34,08:36,08:38,08:40
08:20,08:22,08:25,08:28,08:31,08:34,08:37,08:39,08:43,08:44,08:47,08:49,08:52,08:54,08:56,08:58,09:00
08:40,08:42,08:45,08:48,08:51,08:54,08:57,08:59,09:03,09:04,09:07,09:09,09:12,09:14,09:16,09:18,09:20
09:00,09:02,09:05,09:08,09:11,09:14,09:17,09:19,09:23,09:24,09:27,09:29,09:32,09:34,09:36,09:38,09:40
09:20,09:22,09:25,09:28,09:31,09:34,09:37,09:39,09:43,09:44,09:47,09:49,09:52,09:54,09:56,09:58,10:00
09:40,09:42,09:45,09:48,09:51,09:54,09:57,09:59,10:03,10:04,10:07,10:09,10:12,10:14,10:16,10:18,10:20
10:00,10:02,10:05,10:08,10:11,10:14,10:17,10:19,10:23,10:24,10:27,10:29,10:32,10:34,10:36,10:38,10:40
10:20,10:22,10:25,10:28,10:31,10:34,10:37,10:39,10:43,10:44,10:47,10:49,10:52,10:54,10:56,10:58,11:00
10:40,10:42,10:45,10:48,10:51,10:54,10:57,10:59,11:03,11:04,11:07,11:09,11:12,11:14,11:16,11:18,11:20
11:00,11:02,11:05,11:08,11:11,11:14,11:17,11:19,11:23,11:24,11:27,11:29,11:32,11:34,11:36,11:38,11:40
11:20,11:22,11:25,11:28,11:31,11:34,11:37,11:39,11:43,11:44,11:47,11:49,11:52,11:54,11:56,11:58,12:00
11:40,11:42,11:45,11:48,11:51,11:54,11:57,11:59,12:03,12:04,12:07,12:09,12:12,12:14,12:16,12:18,12:20
12:00,12:02,12:05,12:08,12:11,12:14,12:17,12:19,12:23,12:24,12:27,12:29,12:32,12:34,12:36,12:38,12:40
12:20,12:22,12:25,12:28,12:31,12:34,12:37,12:39,12:43,12:44,12:47,12:49,12:52,12:54,12:56,12:58,13:00
