Cascais,Monte Estoril,Estoril,S. João,S. Pedro,Parede,Carcavelos,Oeiras,Santo Amaro,Paço de Arcos,Caxias,Cruz Quebrada,Algés,Belém,Alcântara,Santos,Cais do Sodré
05:30,05:32,05:34,05:36,05:38,05:41,05:43,05:46,05:48,05:51,05:53,05:56,05:59,06:02,06:05,06:08,06:10
06:00,06:02,06:04,06:06,06:08,06:11,06:13,06:16,06:18,06:21,06:23,06:26,06:29,06:32,06:35,06:38,06:40
06:30,06:32,06:34,06:36,06:38,06:41,06:43,06:46,06:48,06:51,06:53,06:56,06:59,07:02,07:05,07:08,07:10
06:52,06:54,06:56,06:58,07:00,07:03,07:05,07:08,,,,,07:16,,07:21,,07:25
,,,,,,,07:10,07:12,07:15,07:17,07:20,07:23,07:26,07:29,07:32,07:34
07:04,07:06,07:08,07:10,07:12,07:15,07:17,07:20,,,,,07:28,,07:33,,07:37
,,,,,,,07:22,07:24,07:27,07:29,07:32,07:35,07:38,07:41,07:44,07:46
07:16,07:18,07:20,07:22,07:24,07:27,07:29,07:32,,,,,07:40,,07:45,,07:49
,,,,,,,07:34,07:36,07:39,07:41,07:44,07:47,07:50,07:53,07:56,07:58
07:28,07:30,07:32,07:34,07:36,07:39,07:41,07:44,,,,,07:52,,07:57,,08:01
,,,,,,,07:46,07:48,07:51,07:53,07:56,07:59,08:02,08:05,08:08,08:10
07:40,07:42,07:44,07:46,07:48,07:51,07:53,07:56,,,,,08:04,,08:09,,08:13
,,,,,,,07:58,08:00,08:03,08:05,08:08,08:11,08:14,08:17,08:20,08:22
07:52,07:54,07:56,07:58,08:00,08:03,08:05,08:08,,,,,08:16,,08:21,,08:25
,,,,,,,08:10,08:12,08:15,08:17,08:20,08:23,08:26,08:29,08:32,08:34
08:04,08:06,08:08,08:10,08:12,08:15,08:17,08:20,,,,,08:28,,08:33,,08:37
,,,,,,,08:22,08:24,08:27,08:29,08:32,08:35,08:38,08:41,08:44,08:46
08:16,08:18,08:20,08:22,08:24,08:27,08:29,08:32,,,,,08:40,,08:45,,08:49
,,,,,,,08:34,08:36,08:39,08:41,08:44,08:47,08:50,08:53,08:56,08:58
08:28,08:30,08:32,08:34,08:36,08:39,08:41,08:44,,,,,08:52,,08:57,,09:01
,,,,,,,08:46,08:48,08:51,08:53,08:56,08:59,09:02,09:05,09:08,09:10
08:40,08:42,08:44,08:46,08:48,08:51,08:53,08:56,,,,,09:04,,09:09,,09:13
,,,,,,,08:58,09:00,09:03,09:05,09:08,09:11,09:14,09:17,09:20,09:22
08:52,08:54,08:56,08:58,09:00,09:03,09:05,09:08,,,,,09:16,,09:21,,09:25
,,,,,,,09:10,09:12,09:15,09:17,09:20,09:23,09:26,09:29,09:32,09:34
09:04,09:06,09:08,09:10,09:12,09:15,09:17,09:20,,,,,09:28,,09:33,,09:37
,,,,,,,09:22,09:24,09:27,09:29,09:32,09:35,09:38,09:41,09:44,09:46
09:16,09:18,09:20,09:22,09:24,09:27,09:29,09:32,,,,,09:40,,09:45,,09:49
,,,,,,,09:34,09:36,09:39,09:41,09:44,09:47,09:50,09:53,09:56,09:58
09:28,09:30,09:32,09:34,09:36,09:39,09:41,09:44,,,,,09:52,,09:57,,10:01
,,,,,,,09:46,09:48,09:51,09:53,09:56,09:59,10:02,10:05,10:08,10:10
09:40,09:42,09:44,09:46,09:48,09:51,09:53,09:56,,,,,10:04,,10:09,,10:13
,,,,,,,09:58,10:00,10:03,10:05,10:08,10:11,10:14,10:17,10:20,10:22
09:52,09:54,09:56,09:58,10:00,10:03,10:05,10:08,,,,,10:16,,10:21,,10:25
,,,,,,,10:10,10:12,10:15,10:17,10:20,10:23,10:26,10:29,10:32,10:34
10:04,10:06,10:08,10:10,10:12,10:15,10:17,10:20,,,,,10:28,,10:33,,10:37
,,,,,,,10:22,10:24,10:27,10:29,10:32,10:35,10:38,10:41,10:44,10:46
10:24,10:26,10:28,10:30,10:32,10:35,10:37,10:40,,,,,10:48,,10:53,,10:57
,,,,,,,10:42,10:44,10:47,10:49,10:52,10:55,10:58,11:01,11:04,11:06
10:44,10:46,10:48,10:50,10:52,10:55,10:57,11:00,,,,,11:08,,11:13,,11:17
,,,,,,,11:02,11:04,11:07,11:09,11:12,11:15,11:18,11:21,11:24,11:26
11:04,11:06,11:08,11:10,11:12,11:15,11:17,11:20,,,,,11:28,,11:33,,11:37
,,,,,,,11:22,11:24,11:27,11:29,11:32,11:35,11:38,11:41,11:44,11:46
11:24,11:26,11:28,11:30,11:32,11:35,11:37,11:40,,,,,11:48,,11:53,,11:57
,,,,,,,11:42,11:44,11:47,11:49,11:52,11:55,11:58,12:01,12:04,12:06
11:44,11:46,11:48,11:50,11:52,11:55,11:57,12:00,,,,,12:08,,12:13,,12:17
,,,,,,,12:02,12:04,12:07,12:09,12:12,12:15,12:18,12:21,12:24,12:26
12:04,12:06,12:08,12:10,12:12,12:15,12:17,12:20,,,,,12:28,,12:33,,12:37
,,,,,,,12:22,12:24,12:27,12:29,12:32,12:35,12:38,12:41,12:44,12:46
12:24,12:26,12:28,12:30,12:32,12:35,12:37,12:40,,,,,12:48,,12:53,,12:57
,,,,,,,12:42,12:44,12:47,12:49,12:52,12:55,12:58,13:01,13:04,13:06
12:44,12:46,12:48,12:50,12:52,12:55,12:57,13:00,,,,,13:08,,13:13,,13:17
,,,,,,,13:02,13:04,13:07,13:09,13:12,13:15,13:18,13:21,13:24,13:26
13:04,13:06,13:08,13:10,13:12,13:15,13:17,13:20,,,,,13:28,,13:33,,13:37
,,,,,,,13:22,13:24,13:27,13:29,13:32,13:35,13:38,13:41,13:44,13:46
13:24,13:26,13:28,13:30,13:32,13:35,13:37,13:40,,,,,13:48,,13:53,,13:57
,,,,,,,13:42,13:44,13:47,13:49,13:52,13:55,13:58,14:01,14:04,14:06
13:44,13:46,13:48,13:50,13:52,13:55,13:57,14:00,,,,,14:08,,14:13,,14:17
,,,,,,,14:02,14:04,14:07,14:09,14:12,14:15,14:18,14:21,14:24,14:26
