Cascais,Monte Estoril,Estoril,S. João,S. Pedro,Parede,Carcavelos,Oeiras,Santo Amaro,Paço de Arcos,Caxias,Cruz Quebrada,Algés,Belém,Alcântara,Santos,Cais do Sodré
05:30,05:32,05:34,05:36,05:38,05:41,05:43,05:46,05:48,05:51,05:53,05:56,05:59,06:02,06:05,06:08,06:10
06:00,06:02,06:04,06:06,06:08,06:11,06:13,06:16,06:18,06:21,06:23,06:26,06:29,06:32,06:35,06:38,06:40
06:30,06:32,06:34,06:36,06:38,06:41,06:43,06:46,06:48,06:51,06:53,06:56,06:59,07:02,07:05,07:08,07:10
07:03,07:05,07:07,07:09,07:11,07:14,07:16,07:19,07:21,07:24,07:26,07:29,07:32,07:35,07:38,07:41,07:43
07:23,07:25,07:27,07:29,07:31,07:34,07:36,07:39,07:41,07:44,07:46,07:49,07:52,07:55,07:58,08:01,08:03
07:43,07:45,07:47,07:49,07:51,07:54,07:56,07:59,08:01,08:04,08:06,08:09,08:12,08:15,08:18,08:21,08:23
08:03,08:05,08:07,08:09,08:11,08:14,08:16,08:19,08:21,08:24,08:26,08:29,08:32,08:35,08:38,08:41,08:43
08:23,08:25,08:27,08:29,08:31,08:34,08:36,08:39,08:41,08:44,08:46,08:49,08:52,08:55,08:58,09:01,09:03
08:43,08:45,08:47,08:49,08:51,08:54,08:56,08:59,09:01,09:04,09:06,09:09,09:12,09:15,09:18,09:21,09:23
09:03,09:05,09:07,09:09,09:11,09:14,09:16,09:19,09:21,09:24,09:26,09:29,09:32,09:35,09:38,09:41,09:43
09:23,09:25,09:27,09:29,09:31,09:34,09:36,09:39,09:41,09:44,09:46,09:49,09:52,09:55,09:58,10:01,10:03
09:43,09:45,09:47,09:49,09:51,09:54,09:56,09:59,10:01,10:04,10:06,10:09,10:12,10:15,10:18,10:21,10:23
10:03,10:05,10:07,10:09,10:11,10:14,10:16,10:19,10:21,10:24,10:26,10:29,10:32,10:35,10:38,10:41,10:43
10:23,10:25,10:27,10:29,10:31,10:34,10:36,10:39,10:41,10:44,10:46,10:49,10:52,10:55,10:58,11:01,11:03
10:43,10:45,10:47,10:49,10:51,10:54,10:56,10:59,11:01,11:04,11:06,11:09,11:12,11:15,11:18,11:21,11:23
11:03,11:05,11:07,11:09,11:11,11:14,11:16,11:19,11:21,11:24,11:26,11:29,11:32,11:35,11:38,11:41,11:43
11:23,11:25,11:27,11:29,11:31,11:34,11:36,11:39,11:41,11:44,11:46,11:49,11:52,11:55,11:58,12:01,12:03
11:43,11:45,11:47,11:49,11:51,11:54,11:56,11:59,12:01,12:04,12:06,12:09,12:12,12:15,12:18,12:21,12:23
12:03,12:05,12:07,12:09,12:11,12:14,12:16,12:19,12:21,12:24,12:26,12:29,12:32,12:35,12:38,12:41,12:43
12:23,12:25,12:27,12:29,12:31,12:34,12:36,12:39,12:41,12:44,12:46,12:49,12:52,12:55,12:58,13:01,13:03
12:43,12:45,12:47,12:49,12:51,12:54,12:56,12:59,13:01,13:04,13:06,13:09,13:12,13:15,13:18,13:21,13:23
13:03,13:05,13:07,13:09,13:11,13:14,13:16,13:19,13:21,13:24,13:26,13:29,13:32,13:35,13:38,13:41,13:43
13:23,13:25,13:27,13:29,13:31,13:34,13:36,13:39,13:41,13:44,13:46,13:49,13:52,13:55,13:58,14:01,14:03
13:43,13:45,13:47,13:49,13:51,13:54,13:56,13:59,14:01,14:04,14:06,14:09,14:12,14:15,14:18,14:21,14:23
14:03,14:05,14:07,14:09,14:11,14:14,14:16,14:19,14:21,14:24,14:26,14:29,14:32,14:35,14:38,14:41,14:43
14:23,14:25,14:27,14:29,14:31,14:34,14:36,14:39,14:41,14:44,14:46,14:49,14:52,14:55,14:58,15:01,15:03
14:43,14:45,14:47,14:49,14:51,14:54,14:56,14:59,15:01,15:04,15:06,15:09,15:12,15:15,15:18,15:21,15:23
15:03,15:05,15:07,15:09,15:11,15:14,15:16,15:19,15:21,15:24,15:26,15:29,15:32,15:35,15:38,15:41,15:43
15:23,15:25,15:27,15:29,15:31,15:34,15:36,15:39,15:41,15:44,15:46,15:49,15:52,15:55,15:58,16:01,16:03
15:43,15:45,15:47,15:49,15:51,15:54,15:56,15:59,16:01,16:04,16:06,16:09,16:12,16:15,16:18,16:21,16:23
16:03,16:05,16:07,16:09,16:11,16:14,16:16,16:19,16:21,16:24,16:26,16:29,16:32,16:35,16:38,16:41,16:43
16:23,16:25,16:27,16:29,16:31,16:34,16:36,16:39,16:41,16:44,16:46,16:49,16:52,16:55,16:58,17:01,17:03
16:43,16:45,16:47,16:49,16:51,16:54,16:56,16:59,17:01,17:04,17:06,17:09,17:12,17:15,17:18,17:21,17:23
17:03,17:05,17:07,17:09,17:11,17:14,17:16,17:19,17:21,17:24,17:26,17:29,17:32,17:35,17:38,17:41,17:43
17:23,17:25,17:27,17:29,17:31,17:34,17:36,17:39,17:41,17:44,17:46,17:49,17:52,17:55,17:58,18:01,18:03
17:43,17:45,17:47,17:49,17:51,17:54,17:56,17:59,18:01,18:04,18:06,18:09,18:12,18:15,18:18,18:21,18:23
18:03,18:05,18:07,18:09,18:11,18:14,18:16,18:19,18:21,18:24,18:26,18:29,18:32,18:35,18:38,18:41,18:43
18:23,18:25,18:27,18:29,18:31,18:34,18:36,18:39,18:41,18:44,18:46,18:49,18:52,18:55,18:58,19:01,19:03
18:43,18:45,18:47,18:49,18:51,18:54,18:56,18:59,19:01,19:04,19:06,19:09,19:12,19:15,19:18,19:21,19:23
19:03,19:05,19:07,19:09,19:11,19:14,19:16,19:19,19:21,19:24,19:26,19:29,19:32,19:35,19:38,19:41,19:43
19:33,19:35,19:37,19:39,19:41,19:44,19:46,19:49,19:51,19:54,19:56,19:59,20:02,20:05,20:08,20:11,20:13
20:03,20:05,20:07,20:09,20:11,20:14,20:16,20:19,20:21,20:24,20:26,20:29,20:32,20:35,20:38,20:41,20:43
20:33,20:35,20:37,20:39,20:41,20:44,20:46,20:49,20:51,20:54,20:56,20:59,21:02,21:05,21:08,21:11,21:13
