Azambuja,Espadanal da Azambuja,Vila Nova da Rainha,Carregado,Castanheira do Ribatejo,Vila Franca de Xira,Alhandra,Alverca,Póvoa,Santa Íria,Bobadela,Sacavém,Moscavide,Oriente,Braço de Prata,Santa Apolónia,Marvila,Chelas,Roma – Areiro,Entrecampos,Sete Rios,Rossio,Campolide,Alcântara Terra,Benfica,Sta. Cruz – Damaia,Reboleira,Amadora,Queluz – Belas,Monte Abraão,Massamá – Barcarena,Cacém,Mira Sintra – Meleças,Rio de Mouro,Mercês,Algueirão,Portela,Sintra
04:58,05:02,05:05,05:08,05:11,05:14,05:18,05:21,05:25,05:28,05:31,05:34,05:36,05:39,05:43,,05:45,05:47,05:50,05:52,05:55,,05:57,06:02,,,,,,,,,,,,,,
,,,,,,,,,,,,,05:56,05:59,,,,06:03,06:05,06:08,,,,06:13,06:15,06:17,06:19,06:22,06:24,06:27,06:30,06:34,,,,,
,,,,,,,,,,,,,,,,,,,,,06:08,06:12,,06:16,06:18,06:20,06:23,06:26,06:28,06:30,06:33,,06:37,06:39,06:41,06:45,06:47
,,,,,,,,,,,,,,,,,,,,,06:23,06:27,,06:31,06:33,06:35,06:38,06:41,06:43,06:45,06:48,,06:52,06:54,06:56,07:00,07:02
,,,,,,,,,,,,,06:26,06:29,,,,06:33,06:35,06:38,,,,06:43,06:45,06:47,06:49,06:52,06:54,06:57,07:00,07:04,,,,,
,,,,,,,,,,,,,,,,,,,,,06:38,06:42,,06:46,06:48,06:50,06:53,06:56,06:58,07:00,07:03,,07:07,07:09,07:11,07:15,07:17
,,,,,,,06:20,06:23,06:26,06:29,06:31,06:34,06:37,06:41,,,,06:45,06:47,06:50,,,,06:54,06:56,06:58,07:01,07:04,07:06,07:08,07:11,,07:15,07:17,07:19,07:23,07:25
,,,,,,,,,,,,,06:41,06:44,,,,06:48,06:50,06:53,,,,06:58,07:00,07:02,07:04,07:07,07:09,07:12,07:15,07:19,,,,,
,,,,,,,,,,,,,,,,,,,,,06:53,06:57,,07:01,07:03,07:05,07:08,07:11,07:13,07:15,07:18,,07:22,07:24,07:26,07:30,07:32
,,,,06:19,06:23,06:26,06:30,06:33,06:36,06:40,06:42,06:45,06:47,06:49,06:54,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,06:56,06:59,,,,07:03,07:05,07:08,,,,07:13,07:15,07:17,07:19,07:22,07:24,07:27,07:30,07:34,,,,,
