Sintra,Portela,Algueirão,Mercês,Rio de Mouro,Mira Sintra – Meleças,Cacém,Massamá – Barcarena,Monte Abraão,Queluz – Belas,Amadora,Reboleira,Sta. Cruz – Damaia,Benfica,Alcântara Terra,Campolide,Rossio,Sete Rios,Entrecampos,Roma – Areiro,Chelas,Marvila,Santa Apolónia,Braço de Prata,Oriente,Moscavide,Sacavém,Bobadela,Santa Íria,Póvoa,Alverca,Alhandra,Vila Franca de Xira,Castanheira do Ribatejo,Carregado,Vila Nova da Rainha,Espadanal da Azambuja,Azambuja
05:10,05:12,05:15,05:17,05:19,05:19,05:23,05:26,05:29,05:31,05:33,05:36,05:38,05:40,,05:45,05:49,,,,,,,,,,,,,,,,,,,,,
,,,,,,05:27,05:30,05:33,05:35,05:37,05:40,05:42,05:44,,,,05:49,05:52,05:54,,,,05:59,06:02,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,06:05,06:10,06:13,06:15,06:17,06:20,06:23,06:26,06:30,06:33,06:37,06:40,,,,
,,,,,,,,,,,,,,06:06,06:11,,06:13,06:17,06:19,06:22,06:24,,06:26,06:29,06:31,06:33,06:36,06:41,06:44,06:48,06:52,06:55,06:59,07:01,07:05,07:08,07:12
05:40,05:42,05:45,05:47,05:49,,05:53,05:56,05:59,06:01,06:03,06:06,06:08,06:10,,06:15,06:19,,,,,,,,,,,,,,,,,,,,,
,,,,,,05:57,06:00,06:03,06:05,06:07,06:10,06:12,06:14,,,,06:19,06:22,06:24,,,,06:29,06:32,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,06:35,06:40,06:43,06:45,06:47,06:50,06:53,06:56,07:00,07:03,07:07,07:10,,,,
06:03,06:05,06:08,06:10,06:12,,06:16,06:19,06:22,06:24,06:26,06:29,06:31,06:33,,,,06:37,06:40,06:42,,,,06:47,06:50,06:53,06:55,06:58,07:01,07:04,07:07,,,,,,,
,,,,,,,,,,,,,,06:36,06:41,,06:43,06:47,06:49,06:52,06:54,,06:56,06:59,07:01,07:03,07:06,07:11,07:14,07:18,07:22,07:25,07:29,07:31,07:35,07:38,07:42
06:10,06:12,06:15,06:17,06:19,,06:23,06:26,06:29,06:31,06:33,06:36,06:38,06:40,,06:45,06:49,,,,,,,,,,,,,,,,,,,,,
,,,,,,06:27,06:30,06:33,06:35,06:37,06:40,06:42,06:44,,,,06:49,06:52,06:54,,,,06:59,07:02,,,,,,,,,,,,,
06:25,06:27,06:30,06:32,06:34,,06:38,06:41,06:44,06:46,06:48,06:51,06:53,06:55,,07:00,07:04,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,07:05,07:10,07:13,07:15,07:17,07:20,07:23,07:26,07:30,07:33,07:37,07:40,,,,
,,,,,06:38,06:42,06:45,06:48,06:50,06:52,06:55,06:57,06:59,,,,07:04,07:07,07:09,,,,07:14,07:17,,,,,,,,,,,,,
06:33,06:35,06:38,06:40,06:42,,06:46,06:49,06:52,06:54,06:56,06:59,07:01,07:03,,,,07:07,07:10,07:12,,,,07:17,07:20,07:23,07:25,07:28,07:31,07:34,07:37,,,,,,,
